perf_metric,perf_metric_diff,pvalue,lower,upper,feat,method,perf_metric_name,seed,outcome,taxlevel,metric,dataset,trainfrac
0.6012416666666667,-0.00651944444444441,0.8514851485148515,0.5905555555555555,0.6136111111111111,ASV000001,rf,AUC,100,idsa,asv,AUC,int,0.8
0.6003944444444445,-0.00567222222222219,0.801980198019802,0.5811111111111111,0.6113888888888889,ASV000002,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5998861111111111,-0.00516388888888885,0.7821782178217822,0.5886111111111111,0.6108333333333333,ASV000003,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5972166666666666,-0.00249444444444435,0.7128712871287128,0.5825,0.6063888888888889,ASV000004,rf,AUC,100,idsa,asv,AUC,int,0.8
0.594025,6.97222222222238e-4,0.4752475247524752,0.5708333333333333,0.6172222222222222,ASV000005,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5948305555555555,-1.0833333333326588e-4,0.5247524752475248,0.5702777777777778,0.6147222222222222,ASV000006,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5962916666666667,-0.0015694444444444,0.6732673267326733,0.5902777777777778,0.6025,ASV000007,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5960027777777778,-0.0012805555555555,0.6237623762376238,0.5816666666666667,0.6097222222222223,ASV000008,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5995416666666666,-0.00481944444444437,0.693069306930693,0.5808333333333333,0.616111111111111,ASV000009,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5847416666666667,0.00998055555555554,0.26732673267326734,0.5427777777777778,0.6216666666666667,ASV000010,rf,AUC,100,idsa,asv,AUC,int,0.8
0.6053527777777777,-0.01063055555555547,0.900990099009901,0.5836111111111111,0.6208333333333333,ASV000011,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5880972222222223,0.00662499999999999,0.1485148514851485,0.5738888888888889,0.6005555555555555,ASV000012,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5842944444444444,0.01042777777777781,0.12871287128712872,0.5661111111111111,0.6005555555555555,ASV000013,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5962194444444444,-0.00149722222222214,0.6039603960396039,0.5822222222222222,0.6083333333333334,ASV000014,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5907,0.00402222222222226,0.36633663366336633,0.5733333333333334,0.6086111111111111,ASV000015,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5995361111111112,-0.00481388888888889,0.7128712871287128,0.5858333333333333,0.6130555555555556,ASV000016,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5963611111111111,-0.00163888888888885,0.5742574257425742,0.5722222222222223,0.6169444444444445,ASV000017,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5859027777777778,0.00881944444444449,0.04950495049504951,0.5775,0.595,ASV000018,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5992583333333333,-0.00453611111111107,0.8910891089108911,0.59,0.6072222222222222,ASV000019,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5977805555555555,-0.00305833333333327,0.8118811881188119,0.5888888888888889,0.6047222222222222,ASV000020,rf,AUC,100,idsa,asv,AUC,int,0.8
0.6020722222222222,-0.00734999999999996,0.9207920792079208,0.5922222222222222,0.6102777777777778,ASV000021,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5923305555555556,0.00239166666666668,0.3069306930693069,0.5833333333333334,0.5988888888888889,ASV000022,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5926583333333333,0.00206388888888897,0.25742574257425743,0.5852777777777778,0.5966666666666667,ASV000023,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5891833333333334,0.00553888888888887,0.19801980198019803,0.5786111111111111,0.6041666666666666,ASV000024,rf,AUC,100,idsa,asv,AUC,int,0.8
0.576338888888889,0.0183833333333333,0.04950495049504951,0.5580555555555555,0.5947222222222223,ASV000025,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5959138888888889,-0.00119166666666659,0.5841584158415841,0.5827777777777778,0.6097222222222223,ASV000026,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5999833333333333,-0.00526111111111105,0.8613861386138614,0.5866666666666667,0.61,ASV000027,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5928333333333333,0.00188888888888894,0.26732673267326734,0.5863888888888888,0.5977777777777777,ASV000028,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5998805555555555,-0.00515833333333326,0.9306930693069309,0.5925,0.6075,ASV000029,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5954333333333334,-7.111111111111068e-4,0.4752475247524752,0.5725,0.6108333333333333,ASV000030,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5903555555555555,0.00436666666666674,0.16831683168316833,0.5808333333333333,0.5972222222222222,ASV000031,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5951111111111111,-3.8888888888888307e-4,0.5148514851485149,0.5841666666666667,0.605,ASV000032,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5889833333333333,0.00573888888888896,0.297029702970297,0.5625,0.6119444444444444,ASV000033,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5951055555555556,-3.833333333332911e-4,0.5445544554455446,0.5741666666666667,0.6136111111111111,ASV000034,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5936833333333333,0.00103888888888892,0.4752475247524752,0.5777777777777778,0.6055555555555555,ASV000035,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5929861111111111,0.00173611111111116,0.31683168316831684,0.585,0.5977777777777777,ASV000036,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5942472222222223,4.750000000000032e-4,0.46534653465346537,0.5880555555555556,0.5980555555555556,ASV000037,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5910722222222222,0.00365000000000004,0.2376237623762376,0.5802777777777778,0.6002777777777778,ASV000038,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5934194444444445,0.00130277777777776,0.39603960396039606,0.5827777777777777,0.6016666666666667,ASV000039,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5878861111111111,0.00683611111111115,0.1485148514851485,0.5775,0.5975,ASV000040,rf,AUC,100,idsa,asv,AUC,int,0.8
0.6031277777777778,-0.00840555555555555,0.7326732673267327,0.5727777777777778,0.6227777777777778,ASV000041,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5944194444444444,3.0277777777787396e-4,0.504950495049505,0.5888888888888889,0.5988888888888889,ASV000042,rf,AUC,100,idsa,asv,AUC,int,0.8
0.6042361111111111,-0.00951388888888882,0.99009900990099,0.5955555555555555,0.6111111111111112,ASV000043,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5963277777777778,-0.00160555555555552,0.6336633663366337,0.5894444444444444,0.6036111111111111,ASV000044,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5903833333333334,0.00433888888888889,0.27722772277227725,0.5783333333333334,0.6019444444444444,ASV000045,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5956333333333333,-9.111111111110848e-4,0.7029702970297029,0.5916666666666667,0.5994444444444444,ASV000046,rf,AUC,100,idsa,asv,AUC,int,0.8
0.5941138888888888,6.083333333334329e-4,0.4257425742574258,0.5866666666666667,0.6027777777777777,ASV000047,rf,AUC,100,idsa,asv,AUC,int,0.8
