.threshold,specificity,sensitivity,outcome,taxlevel,metric,dataset,trainfrac,method,seed
-Inf,0,1,idsa,OTU,AUC,int,0.8,rf,100
0.15,0,1,idsa,OTU,AUC,int,0.8,rf,100
0.176,0.00751879699248125,1,idsa,OTU,AUC,int,0.8,rf,100
0.182,0.0150375939849624,1,idsa,OTU,AUC,int,0.8,rf,100
0.186,0.0150375939849624,0.9846153846153848,idsa,OTU,AUC,int,0.8,rf,100
0.19,0.0150375939849624,0.9692307692307692,idsa,OTU,AUC,int,0.8,rf,100
0.194,0.02255639097744366,0.9692307692307692,idsa,OTU,AUC,int,0.8,rf,100
0.206,0.03007518796992481,0.9692307692307692,idsa,OTU,AUC,int,0.8,rf,100
0.208,0.03759398496240607,0.9692307692307692,idsa,OTU,AUC,int,0.8,rf,100
0.212,0.03759398496240607,0.953846153846154,idsa,OTU,AUC,int,0.8,rf,100
0.224,0.04511278195488721,0.953846153846154,idsa,OTU,AUC,int,0.8,rf,100
0.226,0.04511278195488721,0.9384615384615383,idsa,OTU,AUC,int,0.8,rf,100
0.228,0.05263157894736847,0.9384615384615383,idsa,OTU,AUC,int,0.8,rf,100
0.23,0.06015037593984962,0.9384615384615383,idsa,OTU,AUC,int,0.8,rf,100
0.232,0.06766917293233088,0.9384615384615383,idsa,OTU,AUC,int,0.8,rf,100
0.234,0.07518796992481203,0.9384615384615383,idsa,OTU,AUC,int,0.8,rf,100
0.24,0.08270676691729328,0.9384615384615383,idsa,OTU,AUC,int,0.8,rf,100
0.242,0.09774436090225568,0.9384615384615383,idsa,OTU,AUC,int,0.8,rf,100
0.248,0.10526315789473684,0.9384615384615383,idsa,OTU,AUC,int,0.8,rf,100
0.25,0.1127819548872181,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,100
0.252,0.13533834586466165,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,100
0.254,0.1428571428571429,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,100
0.256,0.1578947368421053,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,100
0.258,0.16541353383458646,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,100
0.262,0.17293233082706772,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,100
0.266,0.19548872180451127,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,100
0.268,0.21052631578947367,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,100
0.27,0.22556390977443608,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,100
0.274,0.23308270676691736,0.9230769230769232,idsa,OTU,AUC,int,0.8,rf,100
0.276,0.2556390977443609,0.9076923076923076,idsa,OTU,AUC,int,0.8,rf,100
0.278,0.2706766917293233,0.8923076923076924,idsa,OTU,AUC,int,0.8,rf,100
0.28,0.29323308270676696,0.8923076923076924,idsa,OTU,AUC,int,0.8,rf,100
0.282,0.3007518796992481,0.8769230769230769,idsa,OTU,AUC,int,0.8,rf,100
0.286,0.3157894736842105,0.8769230769230769,idsa,OTU,AUC,int,0.8,rf,100
0.288,0.3308270676691729,0.8615384615384616,idsa,OTU,AUC,int,0.8,rf,100
0.29,0.33834586466165417,0.8615384615384616,idsa,OTU,AUC,int,0.8,rf,100
0.294,0.3458646616541353,0.8615384615384616,idsa,OTU,AUC,int,0.8,rf,100
