Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,tp,fp,tn,fn,net_benefit,nns,decision_threshold,strategy,outcome,taxlevel,metric,dataset,trainfrac,method,seed
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.3282828282828283,3.046153846153846,0,model,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.29292929292929293,3.046153846153846,0.05,model,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.2536475869809203,3.046153846153846,0.1,model,idsa,OTU,AUC,int,0.8,rf,100
1,0.0075187969924812,0.3299492385786802,1,0.3299492385786802,1,0.4961832061068702,0.3282828282828283,0.3282828282828283,0.9949494949494948,0.5037593984962406,65,132,1,0,0.21063576945929885,3.0307692307692307,0.15000000000000002,model,idsa,OTU,AUC,int,0.8,rf,100
0.9692307692307692,0.03007518796992481,0.328125,0.6666666666666666,0.328125,0.9692307692307692,0.4902723735408559,0.3282828282828283,0.3181818181818182,0.9696969696969696,0.499652978600347,63,129,4,2,0.1553030303030303,3.047619047619047,0.2,model,idsa,OTU,AUC,int,0.8,rf,100
0.9230769230769232,0.13533834586466165,0.34285714285714286,0.7826086956521741,0.34285714285714286,0.9230769230769232,0.5000000000000001,0.3282828282828283,0.30303030303030304,0.8838383838383839,0.5292076344707923,60,115,18,5,0.10942760942760946,2.9166666666666665,0.25,model,idsa,OTU,AUC,int,0.8,rf,100
0.8307692307692308,0.3609022556390977,0.3884892086330936,0.8135593220338982,0.3884892086330935,0.8307692307692308,0.5294117647058825,0.3282828282828283,0.2727272727272727,0.702020202020202,0.5958357432041643,54,85,48,11,0.08874458874458868,2.5740740740740735,0.30000000000000004,model,idsa,OTU,AUC,int,0.8,rf,100
0.49230769230769234,0.6541353383458647,0.4102564102564103,0.725,0.41025641025641024,0.49230769230769234,0.4475524475524475,0.3282828282828283,0.16161616161616163,0.3939393939393939,0.5732215153267786,32,46,87,33,0.03651903651903651,2.4374999999999996,0.35000000000000003,model,idsa,OTU,AUC,int,0.8,rf,100
0.2153846153846154,0.849624060150376,0.41176470588235303,0.6890243902439025,0.4117647058823529,0.2153846153846154,0.2828282828282828,0.3282828282828283,0.0707070707070707,0.1717171717171717,0.5325043377674956,14,20,113,51,0.00336700336700335,2.428571428571428,0.4,model,idsa,OTU,AUC,int,0.8,rf,100
0.04615384615384615,0.9548872180451128,0.3333333333333333,0.671957671957672,0.3333333333333333,0.04615384615384615,0.08108108108108109,0.3282828282828283,0.01515151515151515,0.04545454545454545,0.5005205320994794,3,6,127,62,-0.00964187327823691,3,0.45,model,idsa,OTU,AUC,int,0.8,rf,100
