Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,tp,fp,tn,fn,net_benefit,nns,decision_threshold,strategy,outcome,taxlevel,metric,dataset,trainfrac,method,seed
0.01538461538461538,0.9924812030075189,0.4999999999999982,0.673469387755102,0.5,0.01538461538461538,0.02985074626865672,0.3282828282828283,0.00505050505050505,0.0101010101010101,0.503932909196067,1,1,132,64,0,2.000000000000007,0.5,model,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.55,model,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.6000000000000001,model,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.65,model,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.7000000000000001,model,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.75,model,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.8,model,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.8500000000000001,model,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.9,model,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.95,model,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.3282828282828283,3.046153846153846,0,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.29292929292929293,3.046153846153846,0.05,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.2536475869809203,3.046153846153846,0.1,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.2097445038621509,3.046153846153846,0.15000000000000002,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.16035353535353536,3.046153846153846,0.2,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.1043771043771044,3.046153846153846,0.25,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.04040404040404033,3.046153846153846,0.30000000000000004,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.03341103341103346,3.046153846153846,0.35000000000000003,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.1195286195286196,3.046153846153846,0.4,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.2213039485766758,3.046153846153846,0.45,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.3434343434343434,3.046153846153846,0.5,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.4927048260381596,3.046153846153846,0.55,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.6792929292929297,3.046153846153846,0.6000000000000001,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.9191919191919192,3.046153846153846,0.65,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-1.2390572390572394,3.046153846153846,0.7000000000000001,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-1.6868686868686869,3.046153846153846,0.75,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-2.358585858585859,3.046153846153846,0.8,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-3.4781144781144806,3.046153846153846,0.8500000000000001,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-5.717171717171718,3.046153846153846,0.9,all,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-12.434343434343452,3.046153846153846,0.95,all,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.05,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.1,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.15000000000000002,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.2,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.25,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.30000000000000004,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.35000000000000003,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.4,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.45,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.5,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.55,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.6000000000000001,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.65,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.7000000000000001,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.75,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.8,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.8500000000000001,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.9,none,idsa,OTU,AUC,int,0.8,rf,100
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.95,none,idsa,OTU,AUC,int,0.8,rf,100
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.3282828282828283,3.046153846153846,0,model,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.29292929292929293,3.046153846153846,0.05,model,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.2536475869809203,3.046153846153846,0.1,model,idsa,OTU,AUC,int,0.8,rf,101
1,0.0075187969924812,0.3299492385786802,1,0.3299492385786802,1,0.4961832061068702,0.3282828282828283,0.3282828282828283,0.9949494949494948,0.5037593984962406,65,132,1,0,0.21063576945929885,3.0307692307692307,0.15000000000000002,model,idsa,OTU,AUC,int,0.8,rf,101
0.9692307692307692,0.06766917293233082,0.33689839572192515,0.8181818181818181,0.33689839572192515,0.9692307692307692,0.5,0.3282828282828283,0.3181818181818182,0.9444444444444444,0.51844997108155,63,124,9,2,0.1616161616161616,2.968253968253968,0.2,model,idsa,OTU,AUC,int,0.8,rf,101
0.8923076923076924,0.15789473684210523,0.3411764705882353,0.7500000000000001,0.3411764705882353,0.8923076923076924,0.4936170212765958,0.3282828282828283,0.29292929292929293,0.8585858585858586,0.5251012145748988,58,112,21,7,0.1043771043771044,2.931034482758621,0.25,model,idsa,OTU,AUC,int,0.8,rf,101
0.7076923076923077,0.39097744360902253,0.3622047244094488,0.732394366197183,0.3622047244094488,0.7076923076923077,0.47916666666666674,0.3282828282828283,0.23232323232323232,0.6414141414141414,0.5493348756506651,46,81,52,19,0.05699855699855694,2.760869565217391,0.30000000000000004,model,idsa,OTU,AUC,int,0.8,rf,101
0.5538461538461539,0.631578947368421,0.42352941176470593,0.743362831858407,0.4235294117647059,0.5538461538461539,0.48,0.3282828282828283,0.18181818181818185,0.4292929292929293,0.5927125506072874,36,49,84,29,0.04856254856254854,2.3611111111111107,0.35000000000000003,model,idsa,OTU,AUC,int,0.8,rf,101
0.3230769230769231,0.8796992481203008,0.5675675675675677,0.7267080745341615,0.5675675675675675,0.3230769230769231,0.411764705882353,0.3282828282828283,0.10606060606060606,0.18686868686868688,0.6013880855986119,21,16,117,44,0.05218855218855218,1.7619047619047616,0.4,model,idsa,OTU,AUC,int,0.8,rf,101
0.1076923076923077,0.962406015037594,0.583333333333333,0.6881720430107526,0.5833333333333334,0.1076923076923077,0.18181818181818185,0.3282828282828283,0.03535353535353535,0.06060606060606061,0.5350491613649508,7,5,128,58,0.01469237832874196,1.714285714285715,0.45,model,idsa,OTU,AUC,int,0.8,rf,101
0.04615384615384615,0.9849624060150376,0.6,0.6787564766839379,0.6,0.04615384615384615,0.08571428571428573,0.3282828282828283,0.01515151515151515,0.02525252525252525,0.5155581260844418,3,2,131,62,0.00505050505050505,1.6666666666666667,0.5,model,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.55,model,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.6000000000000001,model,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.65,model,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.7000000000000001,model,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.75,model,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.8,model,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.8500000000000001,model,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.9,model,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.95,model,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.3282828282828283,3.046153846153846,0,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.29292929292929293,3.046153846153846,0.05,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.2536475869809203,3.046153846153846,0.1,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.2097445038621509,3.046153846153846,0.15000000000000002,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.16035353535353536,3.046153846153846,0.2,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.1043771043771044,3.046153846153846,0.25,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.04040404040404033,3.046153846153846,0.30000000000000004,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.03341103341103346,3.046153846153846,0.35000000000000003,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.1195286195286196,3.046153846153846,0.4,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.2213039485766758,3.046153846153846,0.45,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.3434343434343434,3.046153846153846,0.5,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.4927048260381596,3.046153846153846,0.55,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.6792929292929297,3.046153846153846,0.6000000000000001,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-0.9191919191919192,3.046153846153846,0.65,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-1.2390572390572394,3.046153846153846,0.7000000000000001,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-1.6868686868686869,3.046153846153846,0.75,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-2.358585858585859,3.046153846153846,0.8,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-3.4781144781144806,3.046153846153846,0.8500000000000001,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-5.717171717171718,3.046153846153846,0.9,all,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,-12.434343434343452,3.046153846153846,0.95,all,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.05,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.1,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.15000000000000002,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.2,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.25,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.30000000000000004,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.35000000000000003,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.4,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.45,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.5,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.55,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.6000000000000001,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.65,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.7000000000000001,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.75,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.8,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.8500000000000001,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.9,none,idsa,OTU,AUC,int,0.8,rf,101
0,1,NA,0.6717171717171717,NA,0,NA,0.3282828282828283,0,0,0.5,0,0,133,65,0,NA,0.95,none,idsa,OTU,AUC,int,0.8,rf,101
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.3282828282828283,3.046153846153846,0,model,idsa,OTU,AUC,int,0.8,rf,102
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.29292929292929293,3.046153846153846,0.05,model,idsa,OTU,AUC,int,0.8,rf,102
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.2536475869809203,3.046153846153846,0.1,model,idsa,OTU,AUC,int,0.8,rf,102
1,0,0.3282828282828283,NA,0.3282828282828283,1,0.49429657794676807,0.3282828282828283,0.3282828282828283,1,0.5,65,133,0,0,0.2097445038621509,3.046153846153846,0.15000000000000002,model,idsa,OTU,AUC,int,0.8,rf,102
1,0.03759398496240601,0.3367875647668394,1,0.33678756476683935,1,0.5038759689922481,0.3282828282828283,0.3282828282828283,0.9747474747474748,0.518796992481203,65,128,5,0,0.16666666666666666,2.969230769230769,0.2,model,idsa,OTU,AUC,int,0.8,rf,102
0.9230769230769232,0.09022556390977444,0.3314917127071823,0.7058823529411766,0.3314917127071823,0.9230769230769232,0.4878048780487804,0.3282828282828283,0.30303030303030304,0.914141414141414,0.5066512434933488,60,121,12,5,0.09932659932659932,3.0166666666666666,0.25,model,idsa,OTU,AUC,int,0.8,rf,102
0.8615384615384616,0.2781954887218045,0.368421052631579,0.8043478260869565,0.3684210526315789,0.8615384615384616,0.5161290322580645,0.3282828282828283,0.2828282828282828,0.7676767676767676,0.5698669751301331,56,96,37,9,0.07503607503607498,2.714285714285714,0.30000000000000004,model,idsa,OTU,AUC,int,0.8,rf,102
0.5538461538461539,0.5789473684210527,0.391304347826087,0.7264150943396226,0.391304347826087,0.5538461538461539,0.45859872611464975,0.3282828282828283,0.18181818181818185,0.46464646464646464,0.5663967611336033,36,56,77,29,0.0295260295260295,2.5555555555555554,0.35000000000000003,model,idsa,OTU,AUC,int,0.8,rf,102
