effects	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
plate	48	-2.1089693128938393e-4	-4.393686068528832e-6	-0.48198631719666307	-0.005993822396035135	1
Residuals	3883	0.03539661271574281	9.11579003753356e-6	NA	1.005993822396035	NA
Total	3931	0.03518571578445343	NA	NA	1	NA
