OTU,LogMaxMean,group,LDA,pValue,comparison,Taxonomy
Otu00001,5.07173,diarrheal_control,3.59285,1.32382e-7,CvDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00002,4.96557,case,3.8173,1.87955e-8,CvDC,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu00003,4.7827,diarrheal_control,3.28186,7.68032e-8,CvDC,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu00004,4.61464,case,2.72029,2.67409e-5,CvDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00005,4.69648,case,3.99377,1.44329e-15,CvDC,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu00007,4.47932,case,2.18598,7.45764e-8,CvDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00008,4.40833,diarrheal_control,2.84215,1.74408e-11,CvDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00009,4.70639,diarrheal_control,4.17089,6.27284e-4,CvDC,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(100);
Otu00010,4.26961,diarrheal_control,2.92479,5.01365e-6,CvDC,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu00011,4.25266,diarrheal_control,3.31794,2.22045e-16,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu00012,4.2925,diarrheal_control,3.35982,3.78186e-8,CvDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu00014,4.15458,diarrheal_control,3.36003,2.2393e-7,CvDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00015,4.28087,case,3.47159,0,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu00016,4.18574,diarrheal_control,3.03096,1.43789e-6,CvDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu00017,4.12601,diarrheal_control,3.2781,1.601e-7,CvDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00019,4.06561,diarrheal_control,3.23984,1.73562e-11,CvDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
