OTU,LogMaxMean,group,LDA,pValue,comparison,Taxonomy
Otu00021,4.09947,case,3.43556,0,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu00024,4.2047,diarrheal_control,3.95616,2.07255e-5,CvDC,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu00025,3.71832,case,2.60479,1.6225e-6,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu00028,4.02026,case,3.63255,0,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Hungatella(78);
Otu00034,3.90005,case,3.40212,0,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu00035,3.64628,case,2.69536,7.33353e-5,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu00036,3.68121,case,2.61582,0.0201076,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu00040,3.58734,diarrheal_control,2.4894,2.40752e-12,CvDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu00041,3.97086,case,3.71284,0,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu00042,3.56805,diarrheal_control,2.56712,1.21322e-5,CvDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00045,3.60988,case,2.97664,0.0368092,CvDC,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu00046,3.60735,case,2.73205,9.87621e-6,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(99);
Otu00047,3.63816,case,3.11251,0,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu00050,3.45502,case,2.98894,0.00804686,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu00051,3.65122,case,3.12992,0,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu00091,3.27826,case,2.30149,2.22045e-16,CvDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu00001,5.12055,nondiarrheal_control,4.18725,2.10443e-12,CvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00002,4.96557,case,4.32227,0,CvNDC,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu00003,4.77002,case,4.21413,0,CvNDC,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu00004,4.72482,nondiarrheal_control,3.90406,9.99201e-16,CvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00005,4.69648,case,4.11223,6.68354e-14,CvNDC,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Veillonellaceae(100);Veillonella(100);
Otu00007,4.47932,case,3.64149,2.9075e-4,CvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00008,4.57616,nondiarrheal_control,3.92677,0,CvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00009,4.29243,case,3.41505,0,CvNDC,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(100);
Otu00010,4.44118,nondiarrheal_control,3.59039,1.68944e-4,CvNDC,Bacteria(100);Firmicutes(100);Negativicutes(100);Selenomonadales(100);Acidaminococcaceae(100);Phascolarctobacterium(100);
Otu00011,4.44476,nondiarrheal_control,3.88495,0,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu00012,4.27982,nondiarrheal_control,2.54872,2.72537e-8,CvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu00014,4.40148,nondiarrheal_control,3.75513,1.70618e-5,CvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00015,4.28087,case,3.77275,0,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu00016,4.1673,case,2.97739,7.75011e-5,CvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100);
Otu00017,4.08538,case,3.26062,3.77516e-5,CvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00019,4.08859,nondiarrheal_control,3.52013,3.29793e-9,CvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu00021,4.09947,case,3.39563,5.52742e-5,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu00024,3.75718,case,2.58458,1.21014e-14,CvNDC,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu00025,4.0939,nondiarrheal_control,3.60758,0,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu00028,4.02026,case,3.7016,2.32991e-12,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Hungatella(78);
Otu00034,3.90005,case,3.45943,0,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu00035,3.83608,nondiarrheal_control,3.33865,0,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu00036,3.68121,case,3.16087,2.38709e-9,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu00040,3.76894,nondiarrheal_control,3.35992,0,CvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu00041,3.97086,case,3.71654,0,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Peptostreptococcaceae(100);Peptostreptococcaceae_unclassified(100);
Otu00042,3.70926,nondiarrheal_control,3.02934,1.28009e-13,CvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00050,3.7106,nondiarrheal_control,3.34657,0,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu00051,3.65122,case,3.29748,3.08817e-8,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu00075,3.3217,nondiarrheal_control,2.95926,0,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu00091,3.27826,case,2.82654,2.27596e-14,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Clostridium_XlVa(100);
Otu00117,3.19189,nondiarrheal_control,3.14304,0,CvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
Otu00001,5.12055,nondiarrheal_control,3.91924,5.72507e-4,DCvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00002,4.89229,diarrheal_control,4.1506,3.16464e-4,DCvNDC,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu00003,4.7827,diarrheal_control,3.7535,8.83128e-6,DCvNDC,Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacteriaceae_unclassified(100);
Otu00004,4.72482,nondiarrheal_control,3.79427,7.56584e-8,DCvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00008,4.57616,nondiarrheal_control,3.68696,6.47972e-8,DCvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00009,4.70639,diarrheal_control,4.22787,2.65443e-12,DCvNDC,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Enterococcaceae(100);Enterococcus(100);
Otu00011,4.44476,nondiarrheal_control,3.64733,1.19905e-8,DCvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100);
Otu00021,3.91919,nondiarrheal_control,2.71404,8.03028e-5,DCvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Lachnospiraceae_unclassified(100);
Otu00024,4.2047,diarrheal_control,3.82438,6.36128e-4,DCvNDC,Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);
Otu00025,4.0939,nondiarrheal_control,3.45412,0,DCvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100);
Otu00035,3.83608,nondiarrheal_control,3.06729,0,DCvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu00036,3.63114,nondiarrheal_control,2.75377,5.28239e-5,DCvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Ruminococcus2(100);
Otu00040,3.76894,nondiarrheal_control,3.11004,1.06831e-4,DCvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Rikenellaceae(100);Alistipes(100);
Otu00042,3.70926,nondiarrheal_control,3.20682,8.72768e-5,DCvNDC,Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100);
Otu00045,3.63428,nondiarrheal_control,2.74828,3.37858e-9,DCvNDC,Bacteria(100);Actinobacteria(100);Actinobacteria(100);Bifidobacteriales(100);Bifidobacteriaceae(100);Bifidobacterium(100);
Otu00046,3.51867,diarrheal_control,3.01409,2.80334e-8,DCvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(99);
Otu00047,3.59064,nondiarrheal_control,2.91977,0,DCvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Flavonifractor(100);
Otu00050,3.7106,nondiarrheal_control,3.20926,0,DCvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(100);
Otu00075,3.3217,nondiarrheal_control,2.62475,6.35767e-11,DCvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Blautia(100);
Otu00117,3.19189,nondiarrheal_control,2.63839,3.77476e-15,DCvNDC,Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminococcaceae_unclassified(100);
